category,title,content,gpt3
business,Lse 'Sets Date For Takeover Deal',"The London Stock Exchange (LSE) is planning to announce a preferred takeover by the end of the month, newspaper reports claim. The Sunday Telegraph said the LSE's plan was further evidence it wants to retain tight control over its destiny. Both Deutsche Boerse and rival Euronext held talks with the London market last week over a possible offer. A £1.3bn offer from Deutsche Boerse has already been rejected, while Euronext has said it will make an all cash bid. Speculation suggests that Paris-based Euronext has the facilities in place to make a bid of £1.4bn, while its German rival may up its bid to the £1.5bn mark. Neither has yet tabled a formal bid, but the LSE is expected to hold further talks with the two parties later this week. However, the Sunday Telegraph report added that there are signs that Deutsche Boerse chief executive Werner Seifert is becoming increasingly impatient with the LSE's managed bid process. Despite insisting he wants to agree a recommended deal with the LSE's board, the newspaper suggested he may pull out of the process and put an offer directly to shareholders instead. The newspaper also claimed Mr Seifert was becoming ""increasingly frustrated"" with the pace of negotiations since Deutsche Boerse's £1.3bn offer was rejected in mid-December, in particular the LSE's decision to suspend talks over the Christmas period. Meanwhile, the German exchange's offer has come under fire recently. Unions for Deutsche Boerse staff in Frankfurt have reportedly expressed fears that up to 300 jobs would be moved to London if the takeover is successful. Others claim it will weaken the city's status as Europe's financial centre, while German politicians are also said to be angry over the market operator's promise to move its headquarters to London if a bid is successful. A further stumbling block is Deutsche Boerse's control over its Clearstream unit, the clearing house that processes securities transactions. LSE shareholders fear it would create a monopoly situation, weakening the position of shareholders when negotiating lower transaction fees for share dealings. LSE and Euronext do not have control over their clearing and settlement operations, a situation which critics say is more transparent and competitive.","British engineering firm Rolls-Royce has set a deadline of 23 March for firms to express an interest in buying its marine business. Companies have until 1700 GMT to submit their intentions, Rolls-Royce said in a statement. The firm announced on 3 March that it planned to sell the marine unit as part of a restructuring aimed at cutting costs. The sale process is expected to result in a cash deal worth about £2bn ($3.1bn) for the marine business. Rolls-Royce has already sold its energy unit and is expected to sell its aerospace arm by the end of 2005. The marine business makes about 10% of Rolls Royce's profits, with sales of about £800m last year. The sale process will be led by Goldman Sachs and Morgan Stanley who were also involved in the sell-off of its power systems business. Rolls-Royce announced plans to sell off the marine unit after receiving approval from the UK Takeover Panel on 3 March. At the same time, the company revealed its third consecutive annual loss and announced plans to cut 1,600 jobs and close one plant. ""The company is committed to providing information promptly to the market and believes that a deadline for interest will facilitate this,"" said Rolls-Royce in a statement on Monday morning. Shares in Rolls Royce rose 1.3% in early trade on Monday, valuing the company at £7.3bn. Analysts said that although the deadline was welcome, the market was anxious to"
business,Oil Companies Get Russian Setback,"International oil and mining companies have reacted cautiously to Russia's decision to bar foreign firms from natural resource tenders in 2005. US oil giant Exxon said it did not plan to take part in a new tender on a project for which it had previously signed a preliminary agreement. Miner Highland Gold said it regretted any limit on privatisation while BP, a big investor, declined to comment. Only firms at least 51% Russian-owned will be permitted to bid. The Federal Natural Resources Agency said ""the government is interested in letting Russian companies develop strategic resources"". The foreign ownership issue will be dealt with according to Russia's competition law, natural resources minister Yuri Trutnev was quoted as saying by the Interfax news agency. No further details were given, with Mr Trutnev suggesting that Russia may decide on a case-by-case basis. Observers said that the move may represent a shift in policy, as the administration of Vladimir Putin puts the protection of national interests above free market dynamics. Russia recently wrested back control of a large chunk of its oil industry from stock-market listed company Yukos, a move that prompted calls of outrage from many investors. Analysts warned that it was still too early to draw too many conclusions from this new set of proposals. Companies echoed this sentiment, saying that they would require more information before ringing the alarm bells. ""It's not good. But it is very understandable,"" said Al Breach, an economist at UBS Brunswick. ""But if the investment climate is stable - that's much more important. ""Foreigners of course would like to have free entry but... this is not the end of the world."" A number of other nations, including Mexico, Saudi Arabia and Kuwait, protect their national resources from foreign firms. What has surprised observers is that since the collapse of communism Russia has been courting foreign investment. BP spent $7.5bn to create Russian-registered oil company TNK-BP, and has a partnership to develop the Sakhalin 5 petroleum field with state-owned Rosneft. Exxon, the world's largest oil company, has signed preliminary agreements to develop the Sakhalin 3 field. Company spokesman Glenn Waller said Exxon still considered the deal valid, despite Russia inviting new offers for the land block. According to Mr Waller, Exxon ""were not planning to bid at a new tender anyway"". ""We regret the ministry has taken such a decision,"" said Ivan Kulakov, deputy chairman of Highland Gold - a mining firm that has the motto ""Bringing Russia's Gold to Market"". ""It would be a shame if that has a negative impact on the investment climate."" Other firms that have been linked with investment in Russia include France's Total, the US-based ChevronTexaco, and miner Barrick Gold.","Russian oil giant Lukoil has lost a legal bid to block the sale of its shares in a western Siberian oil field. In a surprise ruling, a Dutch court refused to issue a temporary injunction against Dutch firm Sintez, which has agreed to buy the stake in the Priobsk field. Sintez has said it plans to pay $3.4bn (£1.8bn) for the stake, but Lukoil says the Dutch firm is acting illegally. Analysts say the court decision is likely to increase pressure on Lukoil to sell its share in Priobsk. Sintez signed an agreement with Lukoil in February to buy its 50% stake in the field, but the deal was suspended after Lukoil accused Sintez of acting illegally by exceeding its borrowing limits. The Dutch court dismissed Lukoil's request for a temporary injunction against Sintez, saying it was too soon to make a conclusive decision about whether there had been any wrongdoing. ""It is clear that this is an interim decision,"" said Neelie Kroes, the EU Competition Commissioner, who is visiting Moscow. ""The court has said that it is premature and it will take a decision later on,"" she added. Analysts say the decision could increase pressure on Lukoil, which needs cash to service its debts and pay dividends to shareholders, to agree a sale of its stake in Priobsk - also known as Prirazlomnoye - which is due to start pumping oil next"
business,Car Giant Hit By Mercedes Slump,"A slump in profitability at luxury car maker Mercedes has prompted a big drop in profits at parent DaimlerChrysler. The German-US carmaker saw fourth quarter operating profits fall to 785m euros ($1bn) from 2.4bn euros in 2003. Mercedes-Benz's woes - its profits slid to just 20m euros - obscured a strong performance from the Chrysler group whose returns met market expectations. Mercedes faces fierce competition in the luxury car sector from BMW and but hopes to revive its fortunes by 2006. Mercedes' profits over the period compared unfavourably with 2003's 784m euro figure and were well below analyst expectations of 374m euros. For the year as a whole, its operating profits fell 46% to 1.6bn euros. Sales of Mercedes' brands fell 2% as demand cooled, while revenues were affected by the weakness of the US dollar. The carmaker blamed the fall in profits on high launch costs for new models and losses from its Mercedes Smart mini-car range. Mercedes is hoping to increase productivity by 3bn euros, having negotiated 500m euros in annual savings with German workers last year. The firm said it was determined to retain Mercedes' position as the world's most successful luxury brand. However, DaimlerChrysler's shares fell 1.5% on the news. ""While all these divisions are doing well the big worries continue to surround Mercedes-Benz,"" Michael Rabb, an analyst with Bank Sal Oppenheim, told Reuters. In contrast, Chrysler enjoyed a 5% annual increase in unit sales while revenues - calculated in US dollars - rose 10%. The US division - whose marques include Dodge and Jeep - transformed a full year operating loss of 506m euros in 2003 into a 1.4bn euros profit last year. Overall, DaimlerChrysler saw worldwide vehicle sales rise 8% to 4.7 million in 2004 while total revenues added 4% to 142bn euros. Chrysler's strong performance helped the world's fifth largest carmaker boost net income by 400m euros to 2.5bn euros. ""The year 2004 shows that our strategy works well - even in such a challenging competitive environment,"" said Jurgen Schrempp, DaimlerChrysler's chairman. DaimlerChrysler took a 475m euro hit in costs stemming from a defects scandal at its joint venture, Japanese subsidiary Fuso. DaimlerChrysler last week agreed a compensation package with partner Mitsubishi Motors which will see it buy out its stake in Fuso. Looking forward, DaimerChrysler's profits are expected to be slightly higher in 2005. However, it is expecting ""significant improvements"" in profitability in 2006 as a result of a major investment in the Mercedes product range.","BMW has warned its full-year results will be hit by the slowdown in the US car market. The firm's car division, which it shares with German rival Mercedes, reported a net loss of €1.1bn (£746m) in the first quarter. BMW said the poor performance of its DaimlerChrysler (DC) joint venture meant it would not meet its full-year expectations. It said it expected a ""significantly lower"" operating profit for the unit, which has been hit by a slump in US new car sales. BMW shares fell nearly 9% after the warning. The firm said it expected operating profit for the unit to be between €1bn and €3bn for 2004, compared with an earlier forecast of between €2.5bn and €4.5bn. As well as problems facing all car makers in the US, BMW said that DC was also affected by ""high marketing costs and low market prices"". BMW itself also saw sales of cars and motorcycles fall 8% in the first quarter. However, earnings before interest and tax (EBIT) rose by 22% to €1.3bn as BMW benefited from strong demand in Europe and China. BMW's net income rose to €1.8bn in the three months to 31 March, up from €1.2bn a year ago, thanks to ""highly profitable"" sales of motorcycles and new construction projects. However, its share price dropped 9% after it announced that net"
business,Asia Quake Increases Poverty Risk,"Nearly two million people across Asia could be thrown into poverty because of the Indian Ocean tsunami, the Asian Development Bank (ADB) has said. In its first overview of the disaster, the ADB said the impact on economic growth would be slight because major cities and factories escaped damage. But the blow to many low-income people could be ""enormous"". The Paris Club of rich creditor nations on Wednesday offered to freeze debts owed by tsunami-hit countries. The move was aimed at helping South Asian governments find budgets to rebuild devastated coastal areas, though so far only Sri Lanka, Indonesia and the Seychelles have indicated that they will take it up. Other countries believe their economies are strong enough to cope or wish to avoid being viewed as credit risks. ""Poverty is potentially the most important impact of this natural disaster,"" said ADB chief economist Ifzal Ali. Donor nations have promised to give $717m (£379m) in disaster relief over the next six months, according to the United Nations. Mr Ali added his voice to those warning that aid pledges must be promptly delivered, saying the number of people at risk of poverty hinged on ""concerns over sanitation and health conditions, and other basic needs"" being ""properly and quickly addressed"". There are 1.9 billion people in Asia living on less than $2 a day. The ADB fears that 1 million Indonesians could join them, while in India just over half a million people - 645,000 - are at risk of falling into poverty. A quarter of a million Sri Lankans and 23,500 people in the Maldives are also facing poverty. In the Maldives, where 43% of the population already lives on less than $2 a day, this could rise to half. Sri Lanka and the Maldives are the two countries the ADB fears are most at risk of suffering lasting economic damage from the tsunami. Sri Lanka's government has estimated reconstruction costs at nearly $3bn. A government task force held meetings to discuss an emergency rebuilding plan with the ADB, World Bank and Japanese aid agencies on Wednesday, and promised to publish the plan within 10 days. Indonesia, Malaysia, Thailand and India have enjoyed strong economic growth in recent years, which should cushion them against reconstruction costs. Although Indonesia's northern province of Aceh suffered the worst death toll, the region's oil and natural gas production facilities ""have survived intact"", the report said. However, it remains too soon to asses the damage to poor people's livelihoods in Aceh because it would depend on how much farm land had been flooded by seawater. ""This is a profoundly tragic event for the region and for the millions who are suffering. But the economies of the affected countries except Sri Lanka and the Maldives should emerge with minimal damage,"" the ADB report said. Some businesses may even gain from the reconstruction efforts, thereby creating jobs. At a meeting in Thailand, ABD president Thadao Chino said he was confident of the country's ""own capabilities to restore normalcy to the affected areas and meet the rehabilitation requirements"". Thailand has said it does not wish to opt for a debt repayment freeze, while India has also rejected international aid, saying it can cope on its own resources. Debt repayment holidays carry the risk of credit ratings downgrades, making it more expensive to borrow money in future. Indonesia, however, is pressing for greater help with its debts than the current freeze would bring. It is one of the world's most indebted countries.","The risk of millions of people going hungry has increased after the massive damage caused by the Indian Ocean tsunami, aid agencies have warned. The immediate priorities are to get food and shelter to millions of people whose lives have been disrupted. But in the longer term, aid agencies fear the rebuilding effort may fail to help the world's poorest people. The World Food Programme (WFP) estimates that 10 million people have been directly affected by the tsunami disaster. ""The impact on hunger and nutrition will be felt for years to come,"" WFP's director James Morris told BBC News Online. ""The humanitarian community has a very big challenge on its hands."" He said that getting food to people in affected areas was a major priority. But he warned that it was already proving difficult because roads and ports had been damaged, and because many of the fishermen who usually transport supplies had themselves been displaced. ""In the short term, this is going to be a logistical nightmare,"" he said. And he said that aid agencies would have to ensure that they were not just rebuilding what had been destroyed, and were instead helping people create self-sufficient communities. Oxfam's humanitarian director Caroline Hurford agreed that many of the world's poorest people would be hardest hit. Many live in remote areas, or rely on agriculture for their livelihoods, she said. ""Those who are poorest are often those who are most vulnerable,"" she added. ""Agencies have to make sure they don't forget about them."" Ms Hurford said that"
business,Uk Interest Rates Held At 4.75%,"The Bank of England has left interest rates on hold again at 4.75%, in a widely-predicted move. Rates went up five times from November 2003 - as the bank sought to cool the housing market and consumer debt - but have remained unchanged since August. Recent data has indicated a slowdown in manufacturing and consumer spending, as well as in mortgage approvals. And retail sales disappointed over Christmas, with analysts putting the drop down to less consumer confidence. Rising interest rates and the accompanying slowdown in the housing market have knocked consumers' optimism, causing a sharp fall in demand for expensive goods, according to a report earlier this week from the British Retail Consortium. The BRC said Britain's retailers had endured their worst Christmas in a decade. ""Today's no change decision is correct,"" said David Frost, Director General of the British Chambers of Commerce (BCC). ""But, if there are clear signs that the economy slows, the MPC should be ready to take quick corrective action and cut rates. ""Dismal reports from the retail trade about Christmas sales are worrying, if they indicate a more general weakening in consumer spending."" Mr Frost added: ""The housing market outlook remains highly uncertain. ""It is widely accepted that, if house prices start falling more sharply, the risks facing the economy will worsen considerably."" CBI chief economist Ian McCafferty said the economy had ""slowed in recent months in response to rate rises"" but that it was difficult to gauge from the Christmas period the likely pace of activity through the summer. ""The Bank is having to juggle the emergence of inflationary pressures, driven by a tight labour market and buoyant commodity prices, against the risk of an over-abrupt slowdown in consumer activity,"" he said. ""Interest rates are likely to remain on hold for some time."" On Thursday there was more gloomy news on the manufacturing front, as the Office for National (ONS) statistics revealed British manufacturing output unexpectedly fell in November - for the fifth month in the past six. The ONS said manufacturing output dropped 0.1% in November, matching a similar unrevised fall in October and confounding economists' expectations of a 0.3% rise. Manufacturers' organisation, the EEF, said it expected the hold in interest rates to continue in the near future. It also said there was evidence that manufacturers' confidence may be waning as the outlook for the world economy becomes more uncertain. ""So far the evidence suggests that last year's rate increases have helped to rebalance the economy without damaging the recovery in manufacturing,"" said EEF chief economist, Steve Radley. ""However, should the business outlook start to deteriorate, the Bank should stand ready to cut rates."" Some economists have predicted rates will drop later in the year, although others feel the Bank may still think there is a need for a rise to 5% before that happens. The Bank remains concerned about the long-term risks posed by personal debt - which is rising at 15% a year - if economic conditions worsen.","The Bank of England's Monetary Policy Committee (MPC) has decided to hold UK interest rates at 4.75% despite signs of a slowdown in the UK economy in recent months. The nine-member MPC voted unanimously to keep rates at their record low of 4.75% after its two-day meeting ended on Tuesday. The Bank's chief economist Charles Bean said it was right to take ""some reassurance"" from recent data on consumer spending and housing. Rates have been held at their current level since February. Before the announcement, most economists had tipped the MPC to leave rates unchanged. The decision to keep rates on hold was made despite the fact that inflation remains above the Bank's 2% target, with consumer price inflation (CPI) running at an annual rate of 3.1% in January. But Mr Bean, who votes on interest rates on occasion, said that inflation was likely to stay comfortably below the 2% target in the medium term. ""While recent data have provided some reassurance that the adverse shocks which led us to cut interest rates last August have now largely played out, there are also signs that domestic demand is softening,"" he said. ""At this meeting, all members of the committee took some reassurance from recent data pointing to a rebound in consumer spending and house prices, and from survey evidence suggesting that firms' short-term hiring intentions remain positive."" He added: ""All members agreed that, given the continued uncertainty over how much growth will be"
business,Mci Shareholder Sues To Stop Bid,"A shareholder in US phone firm MCI has taken legal action to halt a $6.75bn (£3.6bn) buyout by telecoms giant Verizon, hoping to get a better deal. The lawsuit was filed on Friday after Qwest Communications, which had an earlier offer for MCI rejected, said it would submit an improved bid. MCI's directors have backed Verizon, despite it tabling less money. They are accused of breaching their fiduciary duties by depriving MCI shareholders ""of maximum value"". According the legal papers filed in a Delaware court, Verizon is set to pay an """"unconscionable, unfair and grossly inadequate"" sum for MCI, which was formerly known as Worldcom. Qwest said on Wednesday that MCI had rejected a deal worth $8bn. A number of large MCI shareholders expressed unhappiness at the decision, saying that Verizon's offer, made up of cash, shares and dividends, undervalued the company. Friday's lawsuit argues that the Verizon offer makes no provision for future growth prospects and that consolidation in the US phone industry will put a premium on MCI's network, assets and clients. MCI's directors have argued that Verizon is bigger than Qwest, has fewer debts and has built a successful mobile division. Chief executive Michael Capellas spent last week meeting with shareholders in an effort to win their backing. In 2002, investors in the then-named Worldcom lost millions when the company filed for bankruptcy following an accounting scandal. However, the firm - now renamed MCI - has put its operations in order and emerged from bankruptcy protection last April. It is a long-distance and corporate phone firm, and would provide the buyer with access to a global telecommunications network and a large number of business-based subscribers. MCI shares jumped on Friday, hitting their highest level since April 2004 amid speculation that it would be the focus of a bidding war. A takeover of MCI would be the fifth billion-dollar telecoms deal since October as companies look to cut costs and boost client bases. Earlier this month, SBC Communications agreed to buy its former parent and phone pioneer AT&T for about $16bn.","A shareholder in MCI, the phone company which hopes to merge with rival Verizon, has filed a lawsuit to stop the planned takeover. Marc Raspin, who owns 50 shares in MCI, says the $6.75bn (£3.8bn) deal will dilute the value of his holdings. Verizon, one of the US phone giants, is expected to formally announce its offer later on Wednesday, after MCI's board meets to consider it. MCI agreed a deal in December to be taken over by Verizon Communications. But the new offer from Verizon is a cash-and-stock bid that would dilute the value of existing MCI shareholders' holdings. Mr Raspin is being helped by a group called Shareholders Opposed to Corporate Greed (Sock), which is also trying to block the planned merger through legal means. In a lawsuit filed on Tuesday, he asked the US District Court in Manhattan to block the offer and enjoin - or order - MCI's board to rescind its December agreement with Verizon. ""MCI shareholders should not be forced to vote on a merger agreement unless there is a reasonable chance that it will be approved,"" Mr Raspin said in a statement. ""MCI's board has refused to do that, despite overwhelming shareholder opposition."" Sock says it owns more than one million shares in MCI, but only Mr Raspin has taken legal action so far. Verizon, which is also trying to buy Advance PCS,"
business,Wmc Says Xstrata Bid Is Too Low,"Australian mining firm WMC Resources has said it is worth up to 30% more than a hostile 7.4bn Australian dollar ($5.8bn; £3bn) bid by rival Xstrata. There is now pressure on Swiss-based Xstrata to increase its takeover offer. A report from investment firm Grant Samuel in WMC defence documents values WMC shares at A$7.17 to A$8.24, against Xstrata's bid of A$6.35 a share. Analysts said the defence documents provided more details on WMC, and may trigger a possible rival bid. ""If a bid is going to emerge it is probably likely in the next one to two weeks,"" said Daiwa Securities analyst Mark Pervan. He said the valuation would put increased pressure on Xstrata to look at ""sweetening"" its offer. Marc Gonsalves, an executive at Xstrata, said: ""We will review the information contained in the target's statement over the next week or so."" He added: ""While we will review the assumptions made by Grant Samuel in detail, we are extremely sceptical of their conclusion, and suggest that WMC shareholders take extreme care in presuming that these optimistic assumptions are capable of being realised."" Last month Australia's competition watchdog said it would not oppose the purchase of WMC by Zurich and London-based Xstrata. On Tuesday, WMC chairman Tommie Bergman said in a statement the directors believed it was in shareholders' best interest to reject the offer. He said WMC would pursue ""value-creating options"" provided by a portfolio of ""world class assets"". And WMC chief executive Andrew Michelmore claimed the Xstrata offer was aimed at creating value for Xstrata's shareholders, and was not being made for the benefit of WMC's shareholders. Grant Samuel said its valuation of WMC was based on lower average prices for nickel, copper and uranium than current market levels. ""Any longer term commodity price improvements would only improve our outlook,"" Mr Michelmore said. In 2003 Xstrata acquired Australia's largest copper miner - MIM Holdings. WMC Resources is the world's third-largest producer of concentrated nickel, and also a miner of copper and uranium. It owns the Olympic Dam mine in South Australia, which contains about one-third of the world's known uranium resources and is also the world's fourth largest copper mine. Xstrata is a global mining giant with operations in Australia, South Africa, Spain, Germany, Argentina and the UK. Its core products are copper, coking coal, thermal coal, ferrochrome, vanadium and zinc. It also has growing businesses in gold, lead and silver.","Xstrata's £4bn bid for miner Lonmin is too low and the offer should be at least £4.50 a share, mining group Xstrata has said. But Lonmin has rejected the call, saying Xstrata's offer is fair and its bid is full and final. The firms have been in talks since Xstrata made a surprise £4bn offer for Lonmin on 4 February. Xstrata has already raised its offer once to make the current bid, valuing Lonmin shares at £4.35. London-based Lonmin is South Africa's third-biggest gold miner and also produces platinum and other minerals. Its shareholders have been divided on the bid, with some believing the offer undervalues the company while others believe it is too generous. Xstrata's statement came after Lonmin had called on its rival to state clearly whether it would raise its offer again. ""Lonmin has repeatedly stated that it will not engage in discussions if Xstrata were to raise its offer further,"" said Lonmin in a statement. ""Xstrata must therefore state clearly whether it will or will not make a further increase."" But Xstrata said: ""We remain of the view that the offer is full and fair and recommend that shareholders tender their shares in order to realise this full and fair value for their shares."" The hostile approach from Lonmin could prove damaging for both companies, warned analysts, with any chance of a friendly deal now unlikely"
business,Brussels Raps Mobile Call Charges,"The European Commission has written to the mobile phone operators Vodafone and T-Mobile to challenge ""the high rates"" they charge for international roaming. In letters sent to the two companies, the Commission alleged the firms were abusing their dominant market position in the German mobile phone market. It is the second time Vodafone has come under the Commission's scrutiny. The UK operator is already appealing against allegations that its UK roaming rates are ""unfair and excessive"". Vodafone's response to the Commission's letter was defiant. ""We believe the roaming market is competitive and we expect to resist the charges,"" said a Vodafone spokesman. ""However we will need time to examine the statement of objections in detail before we formally respond."" The Commission's investigation into Vodafone and Deutsche Telekom's T-Mobile centres on the tariffs the two companies charge foreign mobile operators to access their networks when subscribers of those foreign operators use their mobile phones in Germany. The Commission believes these wholesale prices are too high and that the excess is passed on to consumers. ""The Commission aims to ensure that European consumers are not overcharged when they use their mobile phones on their travels around the European Union,"" the Commission said in a statement. Vodafone and O2, Britain's other big mobile phone operator, were sent similar statements of objections by the Commission in July last year. Vodafone sent the Commission a response to those allegations in December last year and is now waiting for a reply. The Vodafone spokesman said a similar process would be set in motion with these latest statement of objections about its operations in Germany. The companies will have three months to respond to the Commission's allegations and the process ""may go on for some time yet"", the spokesman said. The Commission could charge the companies up to 10% of their annual turnover, though in practice that sort of figure is rarely demanded. The Commission's latest move comes just a few months after national telecoms regulators across Europe launched a joint investigation which could lead to people being charged less for using their mobile phone when travelling abroad. The investigation involves regulators assessing whether there is effective competition in the roaming market.","EU regulators say they will not accept more increases in the cost of making mobile phone calls. The European Commission has issued a ""final warning"" to the industry after prices rose by more than 50% in 2005. It says it will not hesitate to take action against operators who raise prices further. The warning came as a survey found that consumers still face some of the highest call charges in the developed world. The European Commission (EC) said it will take action against operators who may have broken previous voluntary price agreements. ""We are not going to accept any more price rises,"" EU Consumer Affairs Commissioner Meglena Kuneva said. Ms Kuneva said that 58% of consumers' mobile phone bills were made up of call charges - compared with an EU average of 41%. According to regulator Ofcom, consumers pay an average of 59p per minute to make a UK mobile phone call - the fourth highest rate in the developed world. ""It is unacceptable that consumers still pay such high prices for mobile phone services,"" Ms Kuneva added. She said that the Commission would continue negotiations with operators over ""fair and reasonable"" charges. The EC issued a similar warning in December when it threatened legal action against operators if they did not lower prices. At the time, operators promised to cut charges for text messages and Internet access - but these reductions have yet to be implemented in all EU countries. A survey by auditing and accountancy firm Deloitte found that consumers in Finland, Italy, Latvia,"
business,Mcdonald'S Boss Bell Dies Aged 44,"Charlie Bell, the straight-talking former head of fast-food giant McDonald's, has died of cancer aged 44. Mr Bell was diagnosed with colorectal cancer in May last year, a month after taking over the top job. He resigned in November to fight the illness. Joining the company as a 15-year-old part-time worker, Mr Bell quickly moved through its ranks, becoming Australia's youngest store manager at 19. A popular go-getter, he is credited with helping revive McDonald's sales. Mr Bell leaves a wife and daughter. ""As we mourn his passing, I ask you to keep Charlie's family in your hearts and prayers,"" chief executive James Skinner said in a statement. ""And remember that in his abbreviated time on this earth, Charlie lived life to the fullest."" ""No matter what cards life dealt, Charlie stayed centred on his love for his family and for McDonald's."" After running the company's Australian business in the 1990s, Mr Bell moved to the US in 1999 to run operations in Asia, Africa and the Middle East. In 2001, he took over the reins in Europe, McDonald's second most important market. He became chief operating officer and president in 2002. Mr Bell took over as chief executive after his predecessor as CEO, Jim Cantalupo, died suddenly of a heart attack in April. Having worked closely with Mr Cantalupo, who came out of retirement to turn McDonald's around, Mr Bell focused on boosting demand at existing restaurants rather than follow a policy of rapid expansion. He had promised not to let the company get ""fat, dumb and happy,"" and, according to Reuters, once told analysts that he would shove a fire hose down the throat of competitors if he saw them drowning. Mr Bell oversaw McDonald's ""I'm lovin' it"" advertising campaign and introduced successes such as McCafe, now the biggest coffee shop brand in Australia and New Zealand. Colleagues said that Mr Bell was proud of his humble beginnings, helping out behind cash tills and clearing tables when visiting restaurants.","UK fast food firm McDonald's has paid tribute to its former chief executive Jim Cantwell who has died aged 44. Mr Cantwell led the firm through one of its most turbulent periods, including two lawsuits in the US. He died on Saturday after suffering a heart attack while on holiday in Florida aged 44. In a statement, McDonald's said it was a ""sad loss"" and he will be ""greatly missed"". The company said Mr Cantwell had led McDonald's through ""one of its most successful periods"" and had made a ""significant contribution to the business"". Mr Cantwell replaced Mike Roberts as chief executive in May 2001 and led the company through a series of legal cases in the US, including one where it was accused of making children obese. McDonald's settled both cases this year. US lawyer Samuel Hirsch filed a lawsuit in 2001 accusing the company of making children obese and misleading customers about the nutritional content of its food. Mr Cantwell settled the case, which cost the company an estimated $3bn (£1.9bn), in August 2004. A second lawsuit from two California teenagers was settled this year when McDonald's agreed to post calorie counts on its menus in California. Mr Cantwell was also involved in settling a long-running dispute with Britain's McStrike workers and led the firm through tough economic times. He stepped down in September 2004 to be replaced by Charlie Bell, who is credited with turning around KFC in Britain. McDonald's UK managing director Amanda Cooper said:"
business,Executive Trio Leave Aer Lingus,"Three senior executives of Ireland's state-owned airline, Aer Lingus, are set to leave early on 28 January after accusations of a conflict of interest. The trio are chief executive Willie Walsh, chief financial officer Brian Dunne and chief operations officer Seamus Kearney. The three have refused to confirm reports they plan to launch a private airline in competition with Aer Lingus. They announced in November they would quit in May, but did not give a reason. That decision had followed an announcement by Irish Prime Minister Bertie Ahern - who is still considering the future of the airline - which ruled out a proposed management buy-out of Aer Lingus. Mr Walsh denied they had been forced out early because of the reports claiming they were set to launch a competitor airline. ""What I do after I leave Aer Lingus is still too early to say,"" Mr Walsh told AP news agency on Wednesday. ""I have opportunities open to me. Brian and Seamus are in the equally fortunate position."" He said he had received more than 40 business proposals, mostly aviation-related, since the trio announced their resignations two months ago. Mr Walsh said there was no conflict of interest, and, if he was to launch a rival airline or join an existing competitor, ""this thing happens in every business"". ""There's absolutely no question of a conflict of interest. I've been completely focused on my responsibilities at Aer Lingus,"" he told AP. This week opposition politicians had called on the Irish government to make an urgent decision on the future of the airline. On Wednesday Irish Transport Minister Martin Cullen said in a statement: ""A conflict of interest cannot, should not and will not be allowed to arise between their current roles at Aer Lingus and their future career intentions."" Last Friday the minister had announced he was to advertise for three senior executives for Aer Lingus. Mr Walsh, who took charge in 2000, and his team have earned praise for turning Aer Lingus around, by cutting air fares and staff, and re-positioning it as a low-fare airline to rival Ryanair. The company is 85% owned by the government and 15% by its staff.","The management board of Aer Lingus has resigned after its parent group, the Irish government, refused to back a pay rise for the airline's chief executive. Five of the airline's nine-strong board have quit after talks about a £1m pay package for Declan Ryan fell through. The government said it was concerned about the size of the proposed rise after Aer Lingus' profits halved last year. Meanwhile, pilots at Aer Lingus have threatened to disrupt flights from Monday unless the government agrees to talks. They are seeking pay rises similar to those given to their colleagues at Ryanair and other airlines. Mr Ryan left Aer Lingus in September 2004, six months into a three-year contract, after it emerged that he had accepted hospitality from a Dublin brothel owner. The government appointed former KLM executive Padraig Fallon to succeed him and he was later joined by Willie Walsh, former chief executive of Ireland's flagship carrier. Within weeks of their appointments, Mr Fallon and Mr Walsh asked the government for permission to pay Mr Ryan up to £1m a year to return as chief executive. But Finance Minister Charlie McCreevy refused to give his consent after launching an inquiry into the proposed pay rise. In a statement, Mr McCreevy said: ""In light of these developments and in view of its fiduciary responsibilities, the government has decided not to endorse the proposed contract between Aer Lingus and Declan Ryan."" The five board members who have resigned - including chairman Des Crowley"
